word,m_embodiment,sd_embodiment
sew,5.03,1.93
share,3.78,2.04
shout,5.77,0.99
show,3.61,1.87
shriek,5.23,1.63
shrink,3.1,1.49
shuffle,5.36,1.53
shun,3.46,1.75
shut,4.29,1.83
sift,3.45,1.93
simmer,2.55,1.48
sing,6.03,1.17
sit,6.23,1.45
sketch,4.94,1.73
ski,6.26,1.15
skim,3,1.46
skip,5.86,1.74
slam,4.94,2
slap,5.81,1.62
sleep*,5.97,1.68
slice,4.25,2.08
slide,4.72,1.97
smack,5.86,1.7
smell,5.87,1.57
smile,6.16,1.37
smother,4.74,1.67
sniff,6.39,0.92
snooze,5.67,1.55
soak,4.13,1.78
solve,2.58,1.4
soothe,3.71,1.72
sort,3.45,1.71
speak,6.19,1.14
spend,3.35,1.7
spill,4.22,2.17
splash,4.71,1.74
split,3.61,1.79
splutter,3.61,1.67
spoil,3.11,2.03
sprint,6.46,1.04
squirm,5.54,1.74
stalk,4.64,1.9
starve,6.03,1.32
stay,4.14,1.97
steal,4.58,2.09
step,6.03,1.42
stop,4.61,1.84
strike,5.36,1.94
struggle,4.74,1.87
study,4.22,2
stun,3.92,1.7
stutter,5,1.65
submit,2.65,1.47
succeed,3.14,1.76
suffer,4.97,1.38
suffocate,5.61,1.54
suggest,2.87,1.36
sulk,4.8,1.73
support,3.87,1.48
swallow,6.16,1.51
swap,2.68,1.42
swear,4.77,1.48
sweat,6.06,1.09
sweep,5,1.79
sweeten,2.71,1.67
sympathize,3.56,1.95
take,4.16,1.68
talk,6.1,1.37
tap,5.5,2.01
taste,6.19,1.17
teach,4.45,2.03
tell,5.29,1.57
tempt,3.56,1.66
tend,3.6,1.82
thank,3.47,1.81
thaw,2.67,1.8
think,4.48,2.16
threaten,4.31,2.15
thrive,3.69,1.76
tickle,6.23,1.09
tolerate,3.16,1.81
toughen,3.94,1.9
transform,3.45,1.73
translate,3.14,1.94
travel,4.94,1.94
try,4.14,1.9
tuck,4.83,1.7
turn,4.55,1.67
twist,5,1.32
understand,3.06,1.74
unify,2.65,1.56
unite,3.33,1.76
