word,imageability,sd_rating,rt,sd_rt,n_raters
clip,5.2,2.2,1283,835,29
clique,3.8,2.3,1777.2,1040.6,30
cloak,5.4,2.2,1218.3,623.4,30
clock,6.8,0.7,981.6,408.3,31
clod,3.3,2.3,1556.6,1254.4,30
clog,4.5,2.3,1276.2,697.6,31
clone,4.8,2.4,1474.3,619.6,29
clop,2.3,1.8,1670.8,1671.3,29
close,3.7,2.2,1660.9,904.3,29
clot,4.2,2.2,1568.7,1024.6,29
cloth,6,1.8,1101.6,564.9,30
clothe,4.6,2.4,1699,1051.2,30
clothes,6.4,1.3,1208.4,467.2,30
cloud,6.7,0.9,1059.1,720.3,29
clout,2.1,1.3,1527.7,1229,31
clove,4.7,2.5,1621,911.4,29
clown,6.9,0.5,946.9,299.1,31
club,5.5,2.1,1318.2,718.1,31
cluck,3.6,2.2,1669.5,954.9,30
clue,4.2,2.2,1398.1,1218,30
clump,3.9,2.1,1580.7,1060,31
clung,3.1,2.1,1483.1,749.2,30
clutch,4.1,2.4,1241.7,417.5,31
coach,6,1.7,1313.2,822.8,31
coal,6.3,1.3,1223.9,784.7,31
coarse,3.7,2.4,1580.4,718.3,29
coast,5.4,2,1542.6,891.2,30
coat,6.7,0.8,1180.8,598,29
coax,2.1,1.2,1546.7,780.2,29
cob,5.4,2.1,1573.7,593.8,30
cock,5.1,2.2,1763.8,1125,31
cod,4.3,2.6,1487.3,923.5,28
code,3.9,2.1,1316.3,565.7,30
coin,6.5,1.3,1199.9,858.6,31
coke,6.8,0.6,1097.9,544.3,31
cold,4.2,2.3,1330.3,769.6,29
colt,6.1,2,1190.6,832.7,29
comb,6.4,1.6,1142.8,665.7,31
come,2.2,1.7,1461.9,866.7,28
con,2.3,1.8,1482.5,865.4,30
cone,5.8,1.9,1242.9,664.3,30
conk,2.6,2.1,1440.5,684.9,30
cook,5.4,1.9,1216.4,611.3,30
cool,3.3,2.4,1424.1,988,29
coon,5.1,2.4,1383.1,803.6,29
coop,3.6,2.3,1408.9,789.2,30
coot,1.9,1.4,1324.7,507.6,30
cop,6.4,1.4,1068.5,375.3,31
cope,2.5,1.7,1364.9,926.2,31
cord,5.9,2,1118,488.9,31
core,4.3,2.4,1581.5,1294.1,29
cork,6.2,1.5,1089.6,544.9,30
corn,6.8,0.7,1065.8,448.6,30
corps,3.9,2.4,1881.1,1018.7,30
corpse,6.4,1.5,1152.2,589,30
cost,3.8,2.1,1555.6,749.8,28
cot,5.4,2.2,1209,486.5,30
couch,6.7,1.2,1180.8,711.6,31
cough,5.6,1.7,1375.5,650.4,30
could,1.7,1.4,1134.6,570.5,28
count,4.4,2.1,1539.7,743.6,30
coup,2.7,2.2,1476.9,739.1,29
course,3.1,2,1700.9,1437.3,31
court,6.3,1.1,1401.3,718.3,31
cove,4.5,2.5,1420.6,753.8,31
cow,6.8,1.2,889.5,283.2,31
coy,2.2,1.6,1612.6,1393.8,30
crab,6.4,1.2,1130.3,575.5,31
crack,4.9,2.1,1358.6,696.8,31
craft,4.5,2.1,1708.5,876.7,29
cram,3.7,2.4,1489.8,938.3,28
cramp,4.5,2.2,1628.6,884.1,30
crane,5.9,1.9,1220.8,581.3,30
crank,4.1,2.3,1483.3,668.1,30
craps,4,2.4,1924.3,1017.1,29
crash,4.6,2.1,1391.8,902.3,29
crate,6.1,1.9,1544.9,824.1,29
crave,3.5,2.4,1320.8,1056.4,30
crawl,4.4,2.2,1417,754.7,29
